timestamp,cctv_id,cctv_name,latitude,longitude,image_path,flood_status
20251020_213827,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_213827.jpg,Wet
20251020_213827,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_213827.jpg,Wet
20251020_213834,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_213834.jpg,Wet
20251020_213837,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_213837.jpg,Wet
20251020_213840,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_213840.jpg,Dry
20251020_213841,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_213841.jpg,Dry
20251020_213844,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_213844.jpg,Wet
20251020_213847,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_213847.jpg,Wet
20251020_213847,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_213847.jpg,Wet
20251020_213854,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_213854.jpg,Wet
20251020_213857,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_213857.jpg,Wet
20251020_213900,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_213900.jpg,Dry
20251020_213901,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_213901.jpg,Dry
20251020_213904,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_213904.jpg,Wet
20251020_213907,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_213907.jpg,Wet
20251020_213907,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_213907.jpg,Dry
20251020_213914,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_213914.jpg,Dry
20251020_213917,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_213917.jpg,Wet
20251020_213920,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_213920.jpg,Dry
20251020_213921,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_213921.jpg,Dry
20251020_213924,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_213924.jpg,Wet
20251020_213927,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_213927.jpg,Wet
20251020_213927,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_213927.jpg,Dry
20251020_213934,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_213934.jpg,Dry
20251020_213937,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_213937.jpg,Wet
20251020_213941,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_213941.jpg,Dry
20251020_213941,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_213941.jpg,Wet
20251020_213944,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_213944.jpg,Wet
20251020_213947,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_213947.jpg,Wet
20251020_213948,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_213948.jpg,Wet
20251020_213954,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_213954.jpg,Dry
20251020_213957,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_213957.jpg,Wet
20251020_214001,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_214001.jpg,Dry
20251020_214001,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214001.jpg,Wet
20251020_214005,5,djundjunan,-6.892379,107.584132,data/captured_images/cctv_5/djundjunan_20251020_214005.jpg,Wet
20251020_214007,9,sudirman,-6.919119,107.58996,data/captured_images/cctv_9/sudirman_20251020_214007.jpg,Wet
20251020_214008,7,kopo_citarip,-6.941275,107.592411,data/captured_images/cctv_7/kopo_citarip_20251020_214008.jpg,Wet
20251020_214014,1,ibrahim_adjie,-6.930554,107.643828,data/captured_images/cctv_1/ibrahim_adjie_20251020_214014.jpg,Wet
20251020_214017,6,gedebage_derwati,-6.965532,107.686969,data/captured_images/cctv_6/gedebage_derwati_20251020_214017.jpg,Wet
20251020_214021,8,rumah_sakit,-6.932247,107.693004,data/captured_images/cctv_8/rumah_sakit_20251020_214021.jpg,Dry
20251020_214021,10,trs_pasirkoja,-6.93029,107.576103,data/captured_images/cctv_10/trs_pasirkoja_20251020_214021.jpg,Wet
